date,sales,month,year
2020-01-01,0,1,2020
2020-01-02,1,1,2020
2020-01-03,2,1,2020
2020-01-04,3,1,2020
2020-01-05,4,1,2020
2020-01-06,5,1,2020
2020-01-07,6,1,2020
2020-01-08,7,1,2020
2020-01-09,8,1,2020
2020-01-10,9,1,2020
2020-01-11,10,1,2020
2020-01-12,11,1,2020
2020-01-13,12,1,2020
2020-01-14,13,1,2020
2020-01-15,14,1,2020
2020-01-16,15,1,2020
2020-01-17,16,1,2020
2020-01-18,17,1,2020
2020-01-19,18,1,2020
2020-01-20,19,1,2020
2020-01-21,20,1,2020
2020-01-22,21,1,2020
2020-01-23,22,1,2020
2020-01-24,23,1,2020
2020-01-25,24,1,2020
2020-01-26,25,1,2020
2020-01-27,26,1,2020
2020-01-28,27,1,2020
2020-01-29,28,1,2020
2020-01-30,29,1,2020
2020-01-31,30,1,2020
2020-02-01,31,2,2020
2020-02-02,32,2,2020
2020-02-03,33,2,2020
2020-02-04,34,2,2020
2020-02-05,35,2,2020
2020-02-06,36,2,2020
2020-02-07,37,2,2020
2020-02-08,38,2,2020
2020-02-09,39,2,2020
2020-02-10,40,2,2020
2020-02-11,41,2,2020
2020-02-12,42,2,2020
2020-02-13,43,2,2020
2020-02-14,44,2,2020
2020-02-15,45,2,2020
2020-02-16,46,2,2020
2020-02-17,47,2,2020
2020-02-18,48,2,2020
2020-02-19,49,2,2020
2020-02-20,50,2,2020
2020-02-21,51,2,2020
2020-02-22,52,2,2020
2020-02-23,53,2,2020
2020-02-24,54,2,2020
2020-02-25,55,2,2020
2020-02-26,56,2,2020
2020-02-27,57,2,2020
2020-02-28,58,2,2020
2020-02-29,59,2,2020
2020-03-01,60,3,2020
2020-03-02,61,3,2020
2020-03-03,62,3,2020
2020-03-04,63,3,2020
2020-03-05,64,3,2020
2020-03-06,65,3,2020
2020-03-07,66,3,2020
2020-03-08,67,3,2020
2020-03-09,68,3,2020
2020-03-10,69,3,2020
2020-03-11,70,3,2020
2020-03-12,71,3,2020
2020-03-13,72,3,2020
2020-03-14,73,3,2020
2020-03-15,74,3,2020
2020-03-16,75,3,2020
2020-03-17,76,3,2020
2020-03-18,77,3,2020
2020-03-19,78,3,2020
2020-03-20,79,3,2020
2020-03-21,80,3,2020
2020-03-22,81,3,2020
2020-03-23,82,3,2020
2020-03-24,83,3,2020
2020-03-25,84,3,2020
2020-03-26,85,3,2020
2020-03-27,86,3,2020
2020-03-28,87,3,2020
2020-03-29,88,3,2020
2020-03-30,89,3,2020
2020-03-31,90,3,2020
2020-04-01,91,4,2020
2020-04-02,92,4,2020
2020-04-03,93,4,2020
2020-04-04,94,4,2020
2020-04-05,95,4,2020
2020-04-06,96,4,2020
2020-04-07,97,4,2020
2020-04-08,98,4,2020
2020-04-09,99,4,2020
